Purchase_Date,Falchion,Falchion_Autotronic_BS,Falchion_Autotronic_FN,Falchion_Autotronic_FT,Falchion_Autotronic_MW,Falchion_Autotronic_WW,Falchion_Black_laminate_BS,Falchion_Black_laminate_FN,Falchion_Black_laminate_FT,Falchion_Black_laminate_MW,Falchion_Black_laminate_WW,Falchion_Blue_Steel_BS,Falchion_Blue_Steel_FN,Falchion_Blue_Steel_FT,Falchion_Blue_Steel_MW,Falchion_Blue_Steel_WW,Falchion_Boreal_forest_BS,Falchion_Boreal_forest_FN,Falchion_Boreal_forest_FT,Falchion_Boreal_forest_MW,Falchion_Boreal_forest_WW,Falchion_Bright_Water_BS,Falchion_Bright_Water_FN,Falchion_Bright_Water_FT,Falchion_Bright_Water_MW,Falchion_Bright_Water_WW,Falchion_Case_Hardened_BS,Falchion_Case_Hardened_FN,Falchion_Case_Hardened_FT,Falchion_Case_Hardened_MW,Falchion_Case_Hardened_WW,Falchion_Crimson_web_BS,Falchion_Crimson_web_FN,Falchion_Crimson_web_FT,Falchion_Crimson_web_MW,Falchion_Crimson_web_WW,Falchion_Damascus_Steel_BS,Falchion_Damascus_Steel_FN,Falchion_Damascus_Steel_FT,Falchion_Damascus_Steel_MW,Falchion_Damascus_Steel_WW,Falchion_Doppler_FN,Falchion_Doppler_MW,Falchion_Fade_FN,Falchion_Fade_MW,Falchion_Forest_DDPAT_BS,Falchion_Forest_DDPAT_FN,Falchion_Forest_DDPAT_FT,Falchion_Forest_DDPAT_MW,Falchion_Forest_DDPAT_WW,Falchion_Freehand_BS,Falchion_Freehand_FN,Falchion_Freehand_FT,Falchion_Freehand_MW,Falchion_Freehand_WW,Falchion_Gamma_Doppler_FN,Falchion_Gamma_Doppler_MW,Falchion_Lore_BS,Falchion_Lore_FN,Falchion_Lore_FT,Falchion_Lore_MW,Falchion_Marble_Fade_FN,Falchion_Marble_Fade_MW,Falchion_Night_BS,Falchion_Night_FT,Falchion_Night_MW,Falchion_Rust_coat_BS,Falchion_Rust_coat_WW,Falchion_safari_mesh_BS,Falchion_safari_mesh_FT,Falchion_safari_mesh_MW,Falchion_safari_mesh_WW,Falchion_Scorched_BS,Falchion_Scorched_FN,Falchion_Scorched_FT,Falchion_Scorched_MW,Falchion_Scorched_WW,Falchion_Slaughter_FN,Falchion_Slaughter_FT,Falchion_Slaughter_MW,Falchion_Stained_BS,Falchion_Stained_FN,Falchion_Stained_FT,Falchion_Stained_MW,Falchion_Stained_WW,Falchion_Tiger_Tooth_FN,Falchion_Tiger_Tooth_MW,Falchion_Ultraviolet_FN,Falchion_Ultraviolet_FT,Falchion_Ultraviolet_MW,Falchion_Ultraviolet_WW,Falchion_Urban_masked_BS,Falchion_Urban_masked_FN,Falchion_Urban_masked_FT,Falchion_Urban_masked_MW,Falchion_Urban_masked_WW
Jun 16 2015,116.153,,,,,,,,,,,107.351,136.381,112.952,149.833,112.902,53.03,134.32,66.646,105.257,64.144,,,,,,107.011,,130.0,119.103,116.622,,,145.337,224.974,167.215,,,,,,,,200.888,,54.869,,64.269,91.576,72.95,,,,,,,,,,,,,,64.137,103.734,179.518,,,54.888,59.058,65.902,59.038,,,59.737,74.93,68.605,239.15,199.73,210.573,72.847,,73.748,87.414,80.179,,,,,,,56.131,,63.574,81.551,67.732
Jun 17 2015,118.596,,,,,,,,,,,109.15,162.378,119.379,136.561,113.244,59.932,,69.696,,68.936,,,,,,108.701,258.812,128.259,126.153,150.0,83.596,,145.063,241.471,,,,,,,,,215.578,,56.905,,63.54,75.032,60.94,,,,,,,,,,,,,,68.057,84.284,168.47,,,61.654,59.541,68.29,62.337,60.225,,65.585,75.01,74.744,244.685,172.046,206.805,74.018,,79.873,82.965,86.802,,,,,,,64.922,100.785,66.655,79.885,65.467
Jun 18 2015,113.374,,,,,,,,,,,111.991,,120.673,,115.5,60.994,,74.018,,,,,,,,102.667,,118.847,179.138,103.624,79.478,,135.884,226.331,,,,,,,,,238.318,,62.841,,66.498,73.925,,,,,,,,,,,,,,,64.066,87.035,,,,60.169,57.919,72.496,,,,62.825,79.968,59.839,254.425,184.532,211.038,63.758,120.0,83.238,95.008,81.225,,,,,,,57.5,,63.685,77.415,60.0
Jun 19 2015,115.955,,,,,,,,,,,112.586,,115.866,125.063,113.372,52.708,,66.758,101.402,69.48,,,,,,101.949,,118.289,123.16,107.278,75.345,,144.189,233.702,148.982,,,,,,,,188.308,,54.682,59.597,60.791,75.026,56.616,,,,,,,,,,,,,,63.437,92.668,132.144,,,57.605,53.413,65.985,59.0,57.57,,59.037,77.23,61.748,236.674,,190.758,68.133,,83.173,80.875,77.9,,,,,,,57.893,,60.584,93.433,57.096
Jun 20 2015,117.463,,,,,,,,,,,109.956,,111.363,123.701,110.858,56.664,,68.123,99.891,64.009,,,,,,111.591,,120.713,135.326,123.922,85.448,,129.284,214.768,120.692,,,,,,,,203.737,,56.521,,61.604,85.581,59.107,,,,,,,,,,,,,,62.992,88.636,181.147,,,54.296,56.359,71.522,56.926,59.421,,55.667,68.542,64.934,218.397,162.669,193.114,69.571,,76.698,84.71,79.85,,,,,,,56.119,,61.133,80.331,60.017
Jun 21 2015,112.669,,,,,,,,,,,110.013,181.15,111.009,122.131,107.393,,,61.593,78.294,72.92,,,,,,110.995,,113.904,126.651,131.618,58.532,,121.833,182.411,,,,,,,,,193.634,,56.53,,58.295,73.255,61.79,,,,,,,,,,,,,,62.444,84.041,124.369,,,52.345,54.583,65.632,54.839,60.754,,64.484,71.796,62.76,234.516,,171.437,75.672,,73.221,83.008,77.934,,,,,,,58.806,120.002,64.517,79.671,62.558
Jun 22 2015,111.347,,,,,,,,,,,128.8,175.77,105.976,113.626,96.829,59.409,141.584,59.787,85.328,60.126,,,,,,,,104.301,129.575,104.024,78.758,,113.657,198.6,108.485,,,,,,,,185.807,227.691,56.298,,59.554,70.353,56.722,,,,,,,,,,,,,,64.63,88.36,128.652,,,54.631,54.178,61.791,56.074,58.661,,62.489,72.379,,225.733,152.601,174.77,72.445,,75.388,83.894,70.351,,,,,,,57.876,,59.829,79.982,55.297
Jun 23 2015,103.691,,,,,,,,,,,98.619,184.96,103.226,118.069,102.321,,111.365,58.951,78.597,69.945,,,,,,100.087,,102.747,135.262,97.493,74.654,,118.569,232.243,107.393,,,,,,,,205.796,,54.605,101.694,61.807,80.093,57.015,,,,,,,,,,,,,,61.54,85.479,132.049,,,55.881,55.891,59.659,,55.611,,58.121,69.119,59.624,208.777,162.055,167.775,74.557,,75.628,77.165,69.322,,,,,,,,154.44,57.655,80.638,64.025
Jun 24 2015,110.71,,,,,,,,,,,99.738,,105.682,116.982,105.698,52.115,,65.453,85.636,70.428,,,,,,104.376,,105.599,146.04,101.66,82.566,,123.345,256.383,104.136,,,,,,,,202.741,,55.72,,61.706,71.729,61.459,,,,,,,,,,,,,,67.417,91.214,144.553,,,54.761,53.835,58.148,51.158,56.986,,60.759,72.572,,232.801,156.68,171.092,68.874,,77.828,75.748,76.103,,,,,,,55.907,,59.994,76.526,
Jun 25 2015,106.816,,,,,,,,,,,106.882,,109.232,122.629,106.736,57.484,,66.425,78.948,65.761,,,,,,90.671,,111.271,134.292,101.822,72.79,,116.846,254.752,101.63,,,,,,,,208.153,200.134,56.44,,65.674,75.389,63.67,,,,,,,,,,,,,,65.625,79.516,128.751,,,55.637,55.93,62.234,52.376,56.418,,58.451,70.894,56.687,224.839,156.915,203.535,72.071,,69.426,79.831,75.405,,,,,,,56.265,,61.76,72.733,60.57
